name,estimated_period_beginning,estimated_period_ending,descriptions,material_number,material_to_material,old_id,position,underage,,,,
,明治9年,昭和38年10月,LID236の破片,554,236,555,,,,,,
,明治9年,昭和38年10月,LID236の破片,555,236,554,,,,,,
,明治9年,昭和38年10月,LID11の破片,556,11,460,557,,,,,
,明治9年,昭和38年10月,LID11の破片,557,11,460,556,,,,,
,明治9年,昭和38年10月,造ID55の破片   奈ID414の破片,558,414,,,,,,,
,明治9年,昭和38年10月,造ID55の破片　 奈ID414の破片,559,414,,,,,,,
,明治9年,昭和38年10月,LID19の破片,560,19,452,,,,,,
,明治9年,昭和38年10月,LID80の破片,561,80,453,,,,,,
,明治9年,昭和38年10月,造ID57の破片　 奈ID621の破片,562,621,,,,,,,
,明治9年,昭和38年10月,造ID52の破片   奈ID415の破片,563,415,,,,,,,
,明治9年,昭和38年10月,LID41の破片,564,41,457,565,566,,,,
,明治9年,昭和38年10月,LID41の破片,565,41,457,564,566,,,,
,明治9年,昭和38年10月,LID41の破片（綿）。,566,41,457,564,565,,,,
,明治9年,昭和38年10月,LID300の破片（綿と木片）。,567,300,462,,,,,,
,明治9年,昭和38年10月,造16の破片（綿）。　　奈ID403の破片,568,403,,,,,,,
,明治9年,昭和38年10月,造16の破片（綿）。　　奈ID403の破片,569,403,,,,,,,
,明治9年,昭和38年10月,造16の破片（綿）。　　奈ID403の破片,570,403,,,,,,,
,明治9年,昭和38年10月,LID241の破片,571,241,455,551,552,553,572,,
,明治9年,昭和38年10月,LID241の破片,572,241,455,551,552,553,571,,
,明治9年,昭和38年10月,LID60の破片,573,60,,,,,,,
,明治9年,昭和38年10月,,574,,,,,,,,
,明治9年,昭和38年10月,LID13の破片,575,13,,,,,,,
,明治9年,昭和38年10月,LID284の破片,576,100,445,,,,,,
,明治9年,昭和38年10月,LID284の破片,577,284,285,,,,,,
,明治9年,昭和38年10月,造ID386の破片　　　　奈ID626の破片,578,626,,,,,,,
,明治9年,昭和38年10月,造ID386の破片　　　　奈ID626の破片,579,626,,,,,,,
虹梁の一部,明治9年,昭和38年10月,,580,34,,,,,,,
,明治9年,昭和38年10月,LID20の破片,581,20,456,,,,,,
,明治9年,昭和38年10月,LID98の破片,582,98,,548,584,,,,
,明治9年,昭和38年10月,造ID52の部位,583,415,,,,,,,
,明治9年,昭和38年10月,LID98の破片,584,98,548,582,,,,,
,明治9年,昭和38年10月,一括資料の一部,657,439,441,203,,,,,
,明治9年,昭和38年10月,LID56の破片,658,56,543,（未登録）,,,,,
,明治9年,昭和38年10月,,659,100,576,（未登録）,,,,,
,明治9年,昭和38年10月,LID90の破片,660,90,（未登録）,,,,,,
,明治9年,昭和38年10月,,661,55,（未登録）,,,,,,
,明治9年,昭和38年10月,LID30の目の破片,664,30,（未登録）,,,,,,
